#"+EI TIC Scan MBPR053_02_GS1.d "
#Point,X(Minutes),Y(Counts)
578,2.169,0.756328206061145
579,2.173,0.751545533502205
580,2.176,0.751371480545155
581,2.180,0.757463334041905
582,2.184,0.764690315519417
583,2.187,0.769578933356561
584,2.191,0.769601635916176
585,2.194,0.763842753293782
586,2.198,0.757796304916262
587,2.202,0.757183335806651
588,2.205,0.759067648254714
589,2.209,0.758991973055997
590,2.212,0.759491429367532
591,2.216,0.76344167474058
592,2.219,0.764448154883521
593,2.223,0.761511957173286
594,2.227,0.75896170297651
595,2.230,0.757463334041905
596,2.234,0.754383353454107
597,2.237,0.751969314615022
598,2.241,0.75304390243681
599,2.245,0.754595244010516
600,2.248,0.756910905091268
601,2.252,0.758575759463051
602,2.255,0.764281669446343
603,2.259,0.770585413499502
604,2.262,0.775209168141135
605,2.266,0.774285930716783
606,2.270,0.769389745359767
607,2.273,0.763865455853397
608,2.277,0.762359519398921
609,2.280,0.763721672975834
610,2.284,0.766196251973893
611,2.288,0.769775688873226
612,2.291,0.77179621667898
613,2.295,0.770260010145017
614,2.298,0.766408142530302
615,2.302,0.761807090448284
616,2.306,0.757357388763701
617,2.309,0.756086045425249
618,2.313,0.75987737288099
619,2.316,0.765235176950182
620,2.320,0.767611378189908
621,2.323,0.765038421433517
622,2.327,0.76261681507456
623,2.331,0.763540052498912
624,2.334,0.766597330527095
625,2.338,0.769964876870019
626,2.341,0.772901074580254
627,2.345,0.771531353483469
628,2.349,0.763812483214295
629,2.352,0.759249268731636
630,2.356,0.767263272275808
631,2.359,0.787937736565401
632,2.363,0.842121178847057
633,2.367,1.03594806532192
634,2.370,1.66091169392954
635,2.374,3.40372665543092
636,2.377,7.49933651769525
637,2.381,15.0291701404736
638,2.384,25.6260211895097
639,2.388,37.6266850123528
640,2.392,49.2637976130378
641,2.395,59.0597401964483
642,2.399,66.3570315010879
643,2.402,71.6798206558331
644,2.406,75.577978789604
645,2.410,77.8983241651569
646,2.413,78.5859014531833
647,2.417,77.9206861863779
648,2.420,75.8490322163699
649,2.424,72.2235166885381
650,2.428,67.5679860309637
651,2.431,61.552261784123
652,2.435,53.9756306184578
653,2.438,45.3592827625746
654,2.442,36.9895149741921
655,2.445,29.4223432083666
656,2.449,22.7350318429885
657,2.453,17.4811827942749
658,2.456,14.5856075307115
659,2.460,13.6658511655002
660,2.463,15.5065519965426
661,2.467,20.5909188702086
662,2.471,28.0238579685492
663,2.474,35.5381327704713
664,2.478,41.2468654386751
665,2.481,43.9946319041038
666,2.485,42.7778125463274
667,2.489,37.8397788044212
668,2.492,30.9840371492578
669,2.496,23.8935888652723
670,2.499,17.3869823069115
671,2.503,12.1694270835028
672,2.506,8.60552630246666
673,2.510,6.34846052808121
674,2.514,4.88741460148419
675,2.517,3.97079118949985
676,2.521,3.42248653719296
677,2.524,3.11025823480486
678,2.528,3.19593012727282
679,2.532,4.49347978704091
680,2.535,8.78257599738588
681,2.539,18.3678918002063
682,2.542,34.4118133828411
683,2.546,54.9764653915749
684,2.549,75.5864771144199
685,2.553,91.6531920669084
686,2.557,100
687,2.560,99.4814584033487
688,2.564,91.3214849683704
689,2.567,78.0620247550224
690,2.571,62.3255639372565
691,2.575,46.3866643954017
692,2.578,32.2192758504019
693,2.582,21.2852690885202
694,2.585,14.1043284019086
695,2.589,10.3512774616783
696,2.593,9.37469658975014
697,2.596,10.5488578380095
698,2.600,13.2421608629213
699,2.603,16.6665317125623
700,2.607,20.0444833953101
701,2.610,22.8564451318107
702,2.614,24.9918630242579
703,2.618,26.6238970623569
704,2.621,27.7539926424031
705,2.625,27.9816236401451
706,2.628,26.8146364007241
707,2.632,24.1032848409182
708,2.636,20.2536420770451
709,2.639,16.0544782728559
710,2.643,12.3197407307152
