Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
MBPR053_02_LQ1.D,FID1A,25.401,0.1915,0.1011,
MBPR053_02_LQ1.D,FID1A,25.512,0.7692,0.2365,
MBPR053_02_LQ1.D,FID1A,25.560,0.1737,0.1113,
MBPR053_02_LQ1.D,FID1A,25.603,0.4801,0.1515,
MBPR053_02_LQ1.D,FID1A,25.719,0.3804,0.0878,
MBPR053_02_LQ1.D,FID1A,25.803,0.7995,0.3736,
MBPR053_02_LQ1.D,FID1A,25.836,0.8357,0.3284,
MBPR053_02_LQ1.D,FID1A,25.938,0.8689,0.1929,
MBPR053_02_LQ1.D,FID1A,26.011,0.2070,0.0659,
MBPR053_02_LQ1.D,FID1A,26.088,0.1597,0.0813,
MBPR053_02_LQ1.D,FID1A,26.147,0.4401,0.1649,
MBPR053_02_LQ1.D,FID1A,26.203,0.5823,0.1122,
MBPR053_02_LQ1.D,FID1A,26.308,0.1460,0.1043,
MBPR053_02_LQ1.D,FID1A,26.387,0.9049,0.3111,
MBPR053_02_LQ1.D,FID1A,26.462,0.4072,0.2020,
MBPR053_02_LQ1.D,FID1A,26.500,0.1088,0.0936,
MBPR053_02_LQ1.D,FID1A,26.539,0.2002,0.0861,
MBPR053_02_LQ1.D,FID1A,26.626,0.2391,0.0797,
MBPR053_02_LQ1.D,FID1A,26.689,1.1394,0.5460,
MBPR053_02_LQ1.D,FID1A,26.767,0.4499,0.1399,
MBPR053_02_LQ1.D,FID1A,26.821,0.3636,0.1292,
MBPR053_02_LQ1.D,FID1A,26.904,0.1305,0.0398,
MBPR053_02_LQ1.D,FID1A,26.995,0.5902,0.1396,
MBPR053_02_LQ1.D,FID1A,27.063,0.3149,0.1092,
MBPR053_02_LQ1.D,FID1A,27.114,0.3301,0.1634,
MBPR053_02_LQ1.D,FID1A,27.210,0.5848,0.1964,
MBPR053_02_LQ1.D,FID1A,27.279,1.0994,0.2243,
MBPR053_02_LQ1.D,FID1A,27.377,0.1696,0.1174,
MBPR053_02_LQ1.D,FID1A,27.413,0.3226,0.1301,
MBPR053_02_LQ1.D,FID1A,27.506,0.6321,0.1843,
MBPR053_02_LQ1.D,FID1A,27.583,0.6494,0.1639,
MBPR053_02_LQ1.D,FID1A,27.629,0.7171,0.1734,
MBPR053_02_LQ1.D,FID1A,27.785,0.8473,0.1610,
MBPR053_02_LQ1.D,FID1A,27.836,0.1965,0.1158,
MBPR053_02_LQ1.D,FID1A,27.928,2.4282,1.0744,
MBPR053_02_LQ1.D,FID1A,28.010,0.3190,0.1394,
MBPR053_02_LQ1.D,FID1A,28.065,0.3774,0.1621,
MBPR053_02_LQ1.D,FID1A,28.115,0.1577,0.1187,
MBPR053_02_LQ1.D,FID1A,28.242,0.1186,0.0683,
MBPR053_02_LQ1.D,FID1A,28.296,0.7510,0.3460,
MBPR053_02_LQ1.D,FID1A,28.382,0.2057,0.0696,
MBPR053_02_LQ1.D,FID1A,28.434,0.0691,0.0946,
MBPR053_02_LQ1.D,FID1A,28.564,0.0895,0.0416,
MBPR053_02_LQ1.D,FID1A,28.634,0.2860,0.1489,
MBPR053_02_LQ1.D,FID1A,28.680,0.0606,0.0775,
MBPR053_02_LQ1.D,FID1A,28.762,0.4188,0.1323,
MBPR053_02_LQ1.D,FID1A,28.854,0.1224,0.1391,
MBPR053_02_LQ1.D,FID1A,28.888,0.0320,0.0890,
MBPR053_02_LQ1.D,FID1A,28.942,0.2296,0.0824,
MBPR053_02_LQ1.D,FID1A,29.068,0.3670,0.1407,
MBPR053_02_LQ1.D,FID1A,29.123,0.1682,0.0714,
MBPR053_02_LQ1.D,FID1A,29.345,35.8131,8.2020,
MBPR053_02_LQ1.D,FID1A,29.480,0.6585,0.2049,
MBPR053_02_LQ1.D,FID1A,29.526,0.4988,0.2874,
MBPR053_02_LQ1.D,FID1A,29.616,2.2667,0.5345,
MBPR053_02_LQ1.D,FID1A,29.648,1.0405,0.5332,
MBPR053_02_LQ1.D,FID1A,29.681,0.6934,0.5256,
MBPR053_02_LQ1.D,FID1A,29.782,3.5119,0.6690,
MBPR053_02_LQ1.D,FID1A,29.827,2.7543,0.6478,
MBPR053_02_LQ1.D,FID1A,29.948,3.1233,0.7332,
MBPR053_02_LQ1.D,FID1A,30.026,2.8422,0.7397,
MBPR053_02_LQ1.D,FID1A,30.057,1.6596,0.6912,
MBPR053_02_LQ1.D,FID1A,30.094,1.8633,0.7785,
MBPR053_02_LQ1.D,FID1A,30.160,3.0524,0.7936,
MBPR053_02_LQ1.D,FID1A,30.205,1.7869,0.7247,
MBPR053_02_LQ1.D,FID1A,30.249,3.4885,0.8446,
MBPR053_02_LQ1.D,FID1A,30.325,2.1878,0.7828,
